"day","2010","2011","2012","2013","2014","2015","2016","2017","2018"
82,-0.11,1.21,0.37,-0.25,0.83,0.88,0.52,0.43,0.56
83,0.05,0.87,0.74,-0.42,0.51,1.46,0.79,0.39,0.83
84,0.67,1.1,1.01,1.01,0.06,1.12,0.34,0.36,0.7
85,1.22,0.99,1.21,0.2,-0.03,0.52,0.61,0.54,0.18
86,0.71,0.9,1.01,0.26,0.54,0.08,0.23,0.82,0.31
87,0.84,0.73,0.87,0.26,0.12,0.33,0.79,0.5,0.62
88,1.25,0.9,0.54,0.47,-0.59,0.45,0.12,0.3,0.56
89,0.6,1.32,0.1,0.45,0.95,0.08,0.15,0.14,1.01
90,0.11,0.67,1.02,0.57,0.26,-0.21,-0.16,0.55,1.14
91,-0.32,0.4,0.74,0.1,-0.14,-0.2,0.33,0.41,0.51
92,1.03,0.16,-0.05,0.49,0.2,-0.18,0.03,0.73,0.1
93,0.84,0.4,0.63,0.62,0.19,-0.21,-0.28,0.88,0.16
94,-0.27,0.69,0.47,0.19,0.89,0.08,-0.04,0.38,0.18
95,0.19,0.92,0.13,-0.31,0.41,0.45,0.09,0.4,0.05
96,-0.19,0.47,0.74,0.28,1.05,0.54,-0.17,0.13,0.87
97,1.03,0.01,0.78,0.86,0.23,1.15,-0.27,-0.09,0.71
98,0.54,0.39,0.62,0.22,0.07,1.09,-0.01,-0.12,0.58
99,-0.12,0.64,0.27,0.46,0.26,0.73,-0.2,-0.32,0.39
100,0.1,-0.03,0,0.92,0.86,0.79,-0.26,-0.88,0.16
101,-0.16,0.75,-0.31,0.73,0.1,0.69,0.42,0.39,-0.03
102,-0.74,1.05,0,0.67,-0.12,0.11,0.03,0.93,-0.03
103,1.29,0.02,-0.62,0.4,-0.05,0.25,-0.43,0.67,0.14
104,1.02,-0.13,0.25,-0.23,1.05,-0.33,0.38,0.05,-0.27
105,0.74,-0.24,-0.57,0.29,0.91,-0.1,0.52,0.09,1.12
106,0.89,-0.5,0.5,-0.21,0.11,-0.23,-0.63,0.2,0.94
107,1.02,-0.03,0.61,-0.69,-0.04,0.03,0.37,-0.53,0.59
108,0.23,0.4,0.12,-0.55,-0.02,-0.21,0.4,-0.98,0.67
109,0.01,1.04,0.01,0.64,-0.12,-0.86,0.82,-0.16,0.55
110,-0.16,0.97,0.13,0.08,0.43,-0.91,0.08,-0.57,0.65
111,-0.11,-0.09,-0.75,0.93,0.45,0.7,-0.36,-0.5,0.18
112,-0.11,-0.14,0.53,0.66,0.21,0.67,-0.34,0.53,0.15
113,0.94,0.78,0.2,-0.13,0.71,0.66,-0.3,0.64,0.13
114,0.87,0.18,-0.13,-0.41,0.2,0.47,0.02,0.29,0.28
115,0.53,0.02,-0.84,0.22,0.22,0.92,0.18,0.05,0.88
116,-0.18,-0.58,0.96,0.65,0.17,0.51,-0.14,0.01,0.5
117,0.45,-0.61,0.14,0.41,-0.24,-0.1,-0.76,0.83,0.69
118,-0.16,0.64,0.1,0.08,0.89,-0.63,0.74,0.55,0.53
119,0.84,0.21,-0.25,0.11,0.78,-0.55,0.86,0.25,-0.04
120,0.25,-0.33,-0.72,-0.65,0.38,0.39,0.18,0.15,-0.11
121,0.44,-0.33,-0.86,0.8,0.1,0.1,0.15,0.23,-0.12
122,0.51,-0.05,-0.97,0.56,0.58,-0.32,0,0.07,-0.21
123,0.66,0.3,0.42,0.64,0.87,-0.67,-0.54,0.28,1.08
124,0.37,0.43,0.41,0.65,0.07,0.51,0.35,-0.17,0.88
125,-0.16,-0.01,0.23,0.73,0.88,0.4,0.05,-0.02,0.14
126,-0.37,-0.36,0.21,0.43,0.55,-0.42,-0.24,0.46,-0.2
127,-0.03,-0.03,-0.14,0.57,-0.12,0.22,-0.09,0.7,-0.46
128,0.15,0.4,-0.64,0.35,0.22,-0.07,0.05,-0.24,0.14
129,-0.64,0.4,-0.13,0.06,0.36,-0.01,-0.07,-0.49,0.95
130,0.35,0.16,0.46,-0.54,-0.03,0.77,-0.66,0.43,1.06
131,0.5,-1.03,0.57,-0.03,-0.06,-0.01,0.89,0.08,0.25
132,0.67,-0.36,0.33,0.1,-0.09,0.47,0.32,-0.2,-0.21
133,0.07,0.71,-0.39,0.12,-0.16,0.02,0.97,-0.18,-0.33
134,-0.08,0.73,-0.31,0.16,-0.92,-0.24,0.85,0.27,-0.05
135,-0.4,-0.09,-0.37,-0.02,-0.67,-0.37,0.08,0.38,-0.09
136,-0.12,-0.23,-0.14,-0.23,0.06,-0.52,1.06,0.37,0.14
137,0.14,0.61,0.2,-0.69,-0.39,-0.39,0.79,0.58,-0.22
138,-0.52,0.37,0.46,-0.29,-0.48,-0.51,0.31,0.92,-0.31
139,-0.58,0.08,-0.05,-0.47,-0.27,-0.88,0.32,0.66,-0.04
140,-0.49,-0.01,0.17,-0.31,-0.49,-0.01,0.2,0.57,-0.14
141,-0.41,0.09,0.81,-0.17,0.54,0.93,0.29,0.74,0.23
142,-0.74,0.07,0.63,-0.03,0.04,0.33,0.41,0.37,-0.17
143,-0.63,-0.15,0.51,-0.31,0.26,-0.17,0.27,-0.33,0.52
144,0.59,0.52,0.04,0.34,0.12,-0.46,0.34,-0.09,0.35
145,0.39,0.62,0.15,0.74,-0.32,0.18,0.09,0.52,-0.44
146,0.71,0.96,0.38,-0.01,-0.63,0.22,0.08,0.59,-0.64
147,0.53,1.32,0.51,-0.33,-0.39,-0.42,0.08,0.86,-0.25
148,0.27,0.32,0.58,-0.41,-0.19,-1.01,-0.45,1.03,-0.27
149,-0.36,0.55,0.8,-0.32,0.08,-0.96,-0.97,0.79,-0.07
150,0.27,0.33,-0.07,-0.29,-0.02,-1.14,-0.84,0.17,-0.27
151,0.43,-0.1,0.77,-0.3,0.06,-0.35,-0.51,-0.95,-0.38
152,0.77,0.13,0.7,-0.57,-0.29,-0.22,-1.12,-1.14,0.96
153,0.87,0.1,0.38,-0.44,-0.67,-0.26,-0.2,-1.24,0.71
154,0.7,-0.16,0.95,0.41,-0.27,-0.58,-0.73,-0.37,0.32
155,0.39,-0.42,0.2,0.32,-0.13,-0.12,-0.98,0.01,0.57
156,0.49,-0.65,0.15,0.13,-0.04,-0.61,0,0.02,0.22
157,0.42,-0.74,0.37,0.23,0.16,0.16,-0.13,-0.12,0.46
158,0.49,-0.95,-0.33,-0.24,-0.09,-0.32,0.03,-0.22,0.97
159,0.43,-0.68,-0.57,-0.66,0.38,-0.39,0.17,0.25,0.89
160,-0.04,0.03,-0.76,-0.57,0.6,-0.55,0.15,-0.05,0.38
161,-0.13,0.19,-0.94,0.16,0.48,-0.6,0.11,-0.16,0.08
162,-0.53,0.09,-1.86,0.04,0.69,-0.7,-0.31,-0.18,0.11
163,-0.15,-0.46,-0.49,0.51,1.12,-0.36,-0.48,-0.08,0.61
164,-0.17,-0.46,0.37,0.74,1.06,-0.21,-0.91,-0.1,0.95
165,-0.49,-0.36,0.28,0.45,0.57,0.02,-0.5,-0.45,0.97
166,-0.57,-0.55,0.04,0.38,0.16,-0.13,-0.69,0.35,0.15
167,-0.57,-0.01,0.47,0.13,0.02,-0.4,-0.88,-0.33,0.52
168,-0.59,0.3,0.58,-0.02,-1.09,-0.5,-0.29,-0.09,0.61
169,-0.94,-0.01,-0.2,0.15,-0.74,-0.81,0.13,0.06,0.16
170,-0.7,0.4,-0.13,-0.28,-0.23,-0.19,0.2,-0.53,-0.72
171,-0.52,0.74,0.1,-0.2,-0.08,0.09,0.2,-0.79,-0.36
172,-0.29,0.57,-0.15,0.22,-0.07,0.43,-0.04,-0.54,-0.41
173,-0.3,0.62,-0.04,0.2,-0.21,0.26,-0.34,-0.34,-0.21
174,-0.24,0.63,-0.15,-0.1,-0.48,0.15,-0.07,-0.33,-0.31
175,-0.39,0.93,-0.2,-0.2,-0.46,-0.05,0.06,-0.77,-0.16
176,-0.25,-1.62,-0.28,-0.64,-0.21,-0.7,-0.23,-0.87,0.09
177,0.02,-0.34,-0.35,-0.87,-0.45,-0.97,-0.02,-0.81,0.21
178,0.1,0.24,0.19,-1.07,-0.25,-0.87,0.11,-0.5,0.11
179,0.14,0.18,1.23,-1.01,0.1,-0.9,0.2,-0.04,-0.27
180,0.1,0.18,0.63,-0.17,0.04,-0.7,0.1,0.05,-0.09
181,-0.14,0.08,0.25,0.09,-0.05,-0.94,0.05,0.33,0.1
182,-0.52,-0.1,0.16,0.45,-0.32,-1,0.19,0.22,-0.53
183,-0.79,-0.3,-0.1,0.14,-0.46,-0.6,0.08,0.33,-1.01
184,-0.86,-0.23,-0.03,0.02,-0.17,-0.36,0.13,-0.27,-1.24
185,-1.23,-0.28,0.3,-0.15,0.28,0.33,0.29,0.28,-1.18
186,-1.21,-0.22,0.25,-0.19,0.29,0.95,0.83,0.27,-0.9
187,-1.07,-0.04,0.01,-0.09,-0.01,0.67,1.02,0.31,-0.19
188,-0.92,-0.4,-0.33,0.07,0.6,0.8,1.19,0.16,-0.02
189,-0.62,-0.65,-0.5,0.29,-0.62,1.17,2.07,0.24,0.52
190,-0.48,-0.85,-0.56,0.35,-0.68,0.63,0.77,0.14,0.86
191,-0.48,0.26,-0.62,0.27,-0.42,-1.06,0.04,0.17,-0.17
192,-0.24,0.58,-0.62,0.32,-0.41,-2.12,-0.08,0.16,0.32
193,-0.12,0.42,-0.61,-0.17,-0.29,-0.6,-0.1,0.23,0.65
194,0.14,0.2,-0.55,-0.94,-0.54,-0.35,-0.32,0.19,1.02
195,0.27,0.41,-0.49,0.27,-0.34,-0.01,-0.43,0.34,1.07
196,0.35,0.18,-0.35,0.31,0.19,0.14,-0.95,0.65,1.16
197,0.45,0.17,-0.04,0.53,0.67,0.29,-0.89,0.68,1.36
198,0.52,0.07,-0.45,0.63,0.69,0.21,-0.07,0.29,1.58
199,0.5,-0.14,-0.44,0.68,0.63,0.44,-0.19,0.23,1.21
200,0.22,-1.39,0.23,0.13,0.6,-0.04,-0.02,0.29,0.89
201,0.2,-0.65,1.04,0.35,0.82,-0.07,-0.28,0.33,0.67
202,0.6,-0.52,1.15,0.4,1.21,-0.17,-0.31,0.48,-0.06
203,0.58,-0.54,1.03,0.39,1.61,-0.2,-0.2,0.75,0.02
204,0.4,-0.53,0.89,0.13,0.58,-0.1,0.09,0.22,-0.49
205,0.15,-0.23,0.91,-0.07,-0.15,-0.42,0.26,-0.17,0.11
206,0.63,0.11,0.72,-0.07,0.18,-0.63,0.32,0.02,0.35
207,0.18,0.37,-0.11,-0.04,0.5,-0.62,-0.29,0.41,0.14
208,-0.57,0.88,0.55,-0.02,0.39,-0.36,-0.54,0.43,0.17
209,-0.84,0.8,0.8,0.14,0.58,-0.04,-0.21,0.98,0.05
210,-0.49,0.24,1.05,0.01,0.69,-0.1,0.43,1.41,-0.45
211,-0.1,0.29,1.17,0.16,0.19,0.08,0.69,0.99,-0.6
212,-0.08,0.18,1.3,0.31,-0.79,-0.04,1.27,-0.17,-0.5
213,0.08,0.29,1.04,0.7,-1.23,0.16,1.15,-0.03,-0.78
214,-0.31,0.41,-0.83,0.38,-0.52,0,0.36,-0.06,-0.87
215,-0.18,0.06,-0.1,0.04,-0.01,0.14,0.01,0,-0.23
216,0.5,-0.43,0.06,0,0.15,0.26,-0.45,-0.3,0.19
217,0.87,-0.78,-0.33,-0.1,0.19,0.31,-0.6,-0.83,0.33
218,1.01,-1.26,-1.3,-0.03,-0.06,0.55,0.05,-0.89,0.39
219,1.23,-0.35,-1.4,0,-0.39,1.1,0.18,-0.82,0.67
220,0.6,0.16,-0.4,-0.25,-0.59,1.39,-0.28,-0.93,0.59
221,-0.53,0.27,-0.01,-0.01,-0.52,0.47,0.11,-1.18,0.27
222,-0.52,0.19,-0.12,0.22,-0.42,0.19,0.68,-1.04,-0.06
223,-0.28,0.09,-0.16,0.61,-0.43,-0.01,0.26,-0.71,-0.15
224,-0.07,-0.09,-0.12,0.84,0.04,-0.28,0.49,-0.46,-0.56
225,-0.05,-0.15,0.14,0.83,-0.18,-0.32,0.6,-0.41,0.52
226,-0.07,-0.08,0.52,0.34,-0.51,-0.3,0.75,-0.65,-0.15
227,0.19,-0.18,1.28,0.13,-0.42,-0.66,0.69,-0.45,-0.6
228,0.25,-0.21,0.84,0.33,-0.04,-0.74,0.3,-0.18,-0.79
229,0.38,-0.09,0.25,0.17,0.14,-0.62,0.2,-0.1,-0.36
230,0.52,0.1,0.36,-0.36,0.29,0.01,-0.18,0.16,-0.09
231,0.77,0.32,0.4,-0.42,0.04,0.63,0.07,0.22,0.1
232,1.11,0.21,0.55,-0.07,-0.26,1.02,0,0.06,0.18
233,1.17,0.05,0.41,-0.39,0,1.41,0.54,1.08,0.22
234,0.81,-0.12,0.4,-0.15,0.05,1.43,0.52,1.61,0.5
235,0.6,-0.01,0.83,0.15,-0.07,0.34,0.22,0.59,0.44
236,0.53,0.31,2.19,0.28,-0.02,-1.04,0.25,0.23,-0.18
237,0.36,0.84,1.24,0.05,0.11,0.03,-0.12,0.56,0.46
238,0.46,1.06,0.2,0.03,0.58,0.22,-0.01,0.96,0.34
239,0.47,1.31,0.52,0.7,0.22,0.12,0.12,0.24,0.3
240,0.4,2.11,-0.4,0.78,0.28,-0.01,0.45,0.51,0.31
241,0.03,1.35,-0.65,-1.23,0.5,0.18,0.52,1,0.23
242,-0.75,0.01,0.25,-0.66,0.31,-0.09,0.34,1.13,0.27
243,-0.02,0.2,0.47,-0.33,0.23,-0.21,-0.1,1.32,-0.01
244,0.79,0,0.55,-0.46,0.1,0.07,-0.29,1.4,-0.01
245,0.86,-0.13,0.45,-0.11,-0.23,0.12,-0.03,0.96,-0.13
246,1.01,0.16,0.3,0.13,-0.16,-0.11,0.33,0.29,-0.57
247,0.46,0.15,0.48,0.7,0.54,0.01,0.73,0.16,-0.57
248,-0.18,0.36,0.66,0.67,0.86,-0.54,0.8,0.53,0.22
249,-0.31,0.26,0.55,0.68,0.7,-0.76,0.1,0.42,0.29
250,0.45,0.31,0.27,0.87,-0.01,0.37,-0.28,-0.16,-0.02
251,1.51,0.19,0.43,1.01,-0.31,0.78,-0.35,-0.19,0.27
252,1.15,0.58,0.12,0.86,-0.06,0.79,0.07,0.04,1.1
253,-0.01,0.9,0.33,0.55,0.26,0.67,0.07,0.1,1.18
254,0.29,0.89,0.36,0.86,0.45,0.69,-0.05,0.14,0.68
255,0.3,0.91,0.15,0.61,0.11,0.79,0.4,0.91,0.3
256,0.51,0.83,0.18,0.66,0.2,1.21,0.98,0.21,0.82
257,0.08,1.07,0.8,0.44,1.25,1.06,2.58,-0.83,1.39
258,0.03,0.66,0.69,0.65,1.32,0.33,0.81,-0.97,2.68
259,0.06,-0.23,-0.23,1.21,0.37,0.52,0.59,-0.22,1.41
260,0.35,0.17,0.25,1.04,0.37,0.62,-0.63,0.49,0.38
261,-0.14,0.28,0.47,1.08,0.89,0.49,-0.51,0.82,0.67
262,1.35,0.41,0.54,1.38,1.16,0.45,0.46,0.27,0.57
263,0.73,0.45,0.64,1.52,1.19,0.33,0.88,0.28,0.06
264,0.4,0.48,0.52,3.31,0.73,0.34,1,0.02,0.08
265,0.41,0.84,-0.23,1.81,-0.67,0.08,0.98,0.45,0.4
266,0.82,0.96,0.2,0.95,-0.19,-0.37,1.12,0.52,0.39
267,0.68,0.87,0.8,0.68,0.03,0.08,1.09,0.07,0.8
268,0.54,0.93,1.2,0.89,0.36,0.39,1.03,-0.26,1.14
269,0.31,1.32,1.4,1.18,0.45,0.32,0.87,-0.23,0.57
270,0.32,1.7,1.5,1.12,0.39,0.25,1.72,-0.36,0.57
271,0.95,1.21,0.32,0.79,0.41,0.19,0.77,-0.02,0.26
272,0.99,0.15,0.12,0.76,0.23,0.84,0.37,1.08,-0.19
273,1.19,0.7,0.49,1.05,0.69,0.25,0.58,1,0.57
274,1.1,1.76,0.68,0.84,0.79,-0.03,0.86,0.31,0.87
275,0.56,2.18,0.73,0.71,0.63,1.16,0.49,-0.02,1.09
276,0.58,1.21,0.51,0.78,0.66,0.6,-0.07,0.82,0.94
277,0.87,0.31,0.61,0.6,0.6,0.79,0.17,1.37,-0.05
278,0.96,0.61,0.74,0.12,0.84,0.64,1.25,1.24,-0.29
279,0.86,0.87,0.63,-0.72,1.21,0.79,1.59,1.16,0.9
280,0.72,1.08,0.77,0.28,1.06,0.44,1.15,1.56,0.77
281,0.39,1.28,0.77,0.17,1.19,-0.45,0.51,1.8,0.64
282,0.52,0.96,0.49,0.7,0.91,0.47,1.06,1.47,0.5
283,0.56,0.38,0.73,0.83,0.78,0.41,0.74,1.33,0.7
284,0.13,0.47,1.01,1.26,0.18,0.76,0.83,1.38,0.97
285,0.59,0.27,0.8,1.69,-0.18,1,1.11,1.45,1.03
286,0.32,0.17,0.53,1.41,0.39,1.07,1.21,2.06,1.09
287,0.3,0.15,0.31,0.73,0.63,0.86,1.19,1.86,0.86
288,0.9,0.5,0.23,0.58,0.65,0.98,1.11,0.86,0.63
289,1.29,1.04,0.22,0.89,0.96,1.17,1.21,0.68,0.09
290,1.38,0.99,0.33,1.1,1.02,1.34,1.36,1.19,0.48
291,1.81,1.23,0.54,0.97,0.83,1.33,1.08,0.98,1.12
292,1.17,1.07,0.7,0.76,0.47,1.37,1.36,1.07,1.03
293,0.77,0.5,0.68,0.79,0.28,1.35,1.71,1.09,0.93
294,1.36,0.48,0.51,0.81,-0.1,1.19,0.56,0.2,0.52
295,1.64,0.89,0.04,0.64,0.79,0.98,-0.18,0.11,0.06
296,0.51,0.66,0.78,0.3,0.87,0.55,-0.07,0.65,0.32
297,-0.11,0.09,0.74,0.27,0.72,0.66,0.63,0.99,0.64
298,0.73,1.22,0.84,0.47,0.53,1.03,0.19,1.03,0.51
299,1.31,1,0.8,0.59,0.38,0.43,0.25,0.74,0.26
300,0.8,0.93,0.31,0.8,1.2,0.03,0.21,0.43,1.06
301,0.28,0.79,0.95,0.65,1.21,0.75,0.35,0.11,0.78
302,0.33,0.87,0.83,0.81,0.74,0.13,1.54,1.17,1.27
303,0.51,1.04,0.55,1.01,0.56,0.46,1.45,1.29,1.66
304,0.88,1.08,0.74,1.33,0.27,1.12,1.18,1.05,1.51
305,1.25,0.82,0.81,1.31,0.42,0.83,1.41,0.8,1.78
306,1.06,0.96,0.65,0.31,0.78,0.91,1.34,0.35,1.51
307,1.19,0.78,0.62,0.44,0.82,1.11,1.06,0.69,0.15
308,1.01,0.7,0.59,1.37,0.54,0.94,0.52,1.92,0.35
309,0.74,0.2,0.83,1.26,0.44,0.54,0.23,1.55,0.68
310,0.41,0.86,0.88,0.5,0.48,0.65,0.49,0.89,0.74
311,0.89,1.21,0.73,1.28,0.96,0.08,0.23,0.38,0.41
312,0.99,0.77,0.13,0.97,0.34,0.12,0.61,1.19,0.06
313,0.97,0.37,0.05,0.74,0.69,0.58,1.13,1.33,1.03
314,0.85,0.45,-0.18,0.41,0.8,1.21,0.47,0.73,0.84
315,0.6,0.85,0.65,1.43,0.59,1.04,0.83,1.09,0.05
316,1.22,0.9,0.82,1.25,0.63,0.86,0.18,1.07,0.27
317,0.51,0.51,0.27,1.15,0.99,0.13,0.14,0.5,0.97
318,0.72,1.04,0.92,0.85,1.09,0.43,0.09,0.64,1.03
319,1.44,1.24,1.02,0.94,0.92,1.11,0.98,0.93,0.75
320,1.01,1.15,0.22,0.52,0.65,0.16,0.97,0.62,0.38
321,1.19,0.67,0.6,0.76,1.04,0.11,0.5,-0.26,0.62
322,0.98,0,0.69,0.74,1.26,0.09,0.15,1.04,0.1
323,0.54,0,0.66,0.86,0.87,0.87,0.22,1.32,0.8
324,0.64,1.28,0.55,0.74,0.77,0.99,0.55,0.85,0.87
325,-0.2,1.36,-0.06,0.74,0.44,0.7,0.36,0.73,0.04
326,0.5,0.46,-0.22,0.88,0.7,0.77,0.72,0.36,0.98
327,0.78,0.85,0.26,0.7,0.56,0.98,1.22,1.06,0.95
328,0.67,1.34,0.66,-0.03,-0.09,0.87,1.36,1.21,0.89
329,0.76,1.07,0.23,0.76,0.12,0.68,1.28,0.58,0.44
330,1.15,0.75,0.71,0.94,0.81,0.96,0.53,0.48,0.34
331,0.74,0.34,0.66,0.2,0.65,1,1.03,1.2,0.68
332,0.47,0.5,0,0.8,0.25,0.64,1.58,0.83,0.46
333,-0.04,0.39,0.35,0.66,0.16,-0.02,1.13,0.31,0.94
334,-0.27,0.23,0.4,0.52,-0.19,0.51,0.47,1.27,0.61
335,0.57,0.82,0.54,0.57,1.24,0.5,1.01,1.71,0.28
336,-0.14,0.1,0.2,0.76,1.05,0.09,1.13,1.23,0.31
337,1.06,0.83,0.37,0.45,0.44,1.13,0.98,0.92,0.04
338,0.66,0.96,0.96,0.32,0.87,1.17,0.27,0.88,0.23
339,0.01,0.43,0.28,0.75,0.86,0.68,0.75,0.96,0.96
340,0.39,1.02,1.03,0.67,1.22,0.68,1.17,0.87,0.45
341,0.48,0.41,0.51,0.95,0.81,1.04,0.92,0.48,1.23
342,0.11,0.85,0.87,0.81,1.32,1.24,0.61,0.94,1.31
343,0.57,1.23,1.21,0.11,1.31,0.75,1.12,0.52,1.14
344,-0.02,1.17,0.89,0.86,0.21,-0.26,1.17,0.19,0.67
345,0.32,1.23,0.62,0.72,0.88,0.7,1.02,1.17,0.62
346,0.24,1.09,1.13,0.58,0.7,0.88,0.06,1.15,1.18
347,-0.21,1.05,0.89,0.7,0.93,0.69,0.22,1.55,1.02
348,0.88,0.73,0.15,1.06,0.82,0.77,0.85,1.19,1.3
